"","CODE","GVC_Ui","YEAR","BEA_CLASS"
"112","322299",2.19670701026917,"2002","BEA2002"
"113","323110",2.5735399723053,"2002","BEA2002"
"114","323120",3.10322189331055,"2002","BEA2002"
"115","324110",2.39613699913025,"2002","BEA2002"
"116","324121",2.29946899414062,"2002","BEA2002"
"117","324122",2.34024906158447,"2002","BEA2002"
"118","324191",2.26957988739014,"2002","BEA2002"
"119","324199",3.28099298477173,"2002","BEA2002"
"120","325110",4.65112781524658,"2002","BEA2002"
"121","325120",3.22611498832703,"2002","BEA2002"
"122","325130",3.51826405525208,"2002","BEA2002"
"123","325181",3.61121010780334,"2002","BEA2002"
"124","325182",3.4193160533905,"2002","BEA2002"
"125","325188",3.23947095870972,"2002","BEA2002"
"126","325190",3.85287308692932,"2002","BEA2002"
"127","325211",3.57122111320496,"2002","BEA2002"
"128","325212",3.04780602455139,"2002","BEA2002"
"129","325220",3.1085159778595,"2002","BEA2002"
"130","325310",3.76174807548523,"2002","BEA2002"
"131","325320",2.84393000602722,"2002","BEA2002"
"132","325411",2.58800911903381,"2002","BEA2002"
"133","325412",1.30922102928162,"2002","BEA2002"
"134","325413",2.04807496070862,"2002","BEA2002"
"135","325414",2.80663990974426,"2002","BEA2002"
"136","325510",2.69129300117493,"2002","BEA2002"
"137","325520",2.95380306243896,"2002","BEA2002"
"138","325610",1.74903500080109,"2002","BEA2002"
"139","325620",1.10300695896149,"2002","BEA2002"
"140","325910",3.48799800872803,"2002","BEA2002"
"141","3259A0",2.87631988525391,"2002","BEA2002"
"142","326110",2.79169201850891,"2002","BEA2002"
"143","326121",3.05381488800049,"2002","BEA2002"
"144","326122",2.70160889625549,"2002","BEA2002"
"145","326130",2.91364598274231,"2002","BEA2002"
"146","326140",2.39752197265625,"2002","BEA2002"
"147","326150",2.34512495994568,"2002","BEA2002"
"148","326160",2.48015403747559,"2002","BEA2002"
"149","32619A",2.41742992401123,"2002","BEA2002"
"150","326210",1.93841099739075,"2002","BEA2002"
"151","326220",2.62063503265381,"2002","BEA2002"
"152","326290",2.55310106277466,"2002","BEA2002"
"153","32711A",1.72748303413391,"2002","BEA2002"
"154","32712A",2.28848099708557,"2002","BEA2002"
"155","32712B",3.46483111381531,"2002","BEA2002"
"156","327211",3.09611701965332,"2002","BEA2002"
"157","327212",2.37557101249695,"2002","BEA2002"
"158","327213",2.2510929107666,"2002","BEA2002"
"159","327215",2.18225407600403,"2002","BEA2002"
"160","327310",2.98587203025818,"2002","BEA2002"
"161","327320",2.22578907012939,"2002","BEA2002"
"162","327330",2.28708696365356,"2002","BEA2002"
"163","327390",2.37834501266479,"2002","BEA2002"
"164","3274A0",2.60983896255493,"2002","BEA2002"
"165","327910",3.02838802337646,"2002","BEA2002"
"166","327991",1.71140897274017,"2002","BEA2002"
"167","327992",3.48570990562439,"2002","BEA2002"
"168","327993",2.28991103172302,"2002","BEA2002"
"169","327999",2.58711194992065,"2002","BEA2002"
"170","331110",3.35812497138977,"2002","BEA2002"
"171","331200",3.4499659538269,"2002","BEA2002"
"172","331314",4.06366491317749,"2002","BEA2002"
"173","33131A",3.81438589096069,"2002","BEA2002"
"174","33131B",3.13683390617371,"2002","BEA2002"
"175","331411",4.35470390319824,"2002","BEA2002"
"176","331419",3.41857290267944,"2002","BEA2002"
"177","331420",3.61085104942322,"2002","BEA2002"
"178","331490",3.39584708213806,"2002","BEA2002"
"179","331510",3.12927103042603,"2002","BEA2002"
"180","331520",3.19017100334167,"2002","BEA2002"
"181","332114",3.11478090286255,"2002","BEA2002"
"182","33211A",2.9585599899292,"2002","BEA2002"
"183","33211B",2.87030696868896,"2002","BEA2002"
"184","33221A",1.33991301059723,"2002","BEA2002"
"185","33221B",2.26828289031982,"2002","BEA2002"
"186","332310",2.64064598083496,"2002","BEA2002"
"187","332320",2.48167896270752,"2002","BEA2002"
"188","332410",2.03170394897461,"2002","BEA2002"
"189","332420",1.74966597557068,"2002","BEA2002"
"190","332430",2.6273410320282,"2002","BEA2002"
"191","332500",2.5492639541626,"2002","BEA2002"
"192","332600",2.73669505119324,"2002","BEA2002"
"193","332710",3.0293140411377,"2002","BEA2002"
"194","332720",2.96278810501099,"2002","BEA2002"
"195","332800",3.07583689689636,"2002","BEA2002"
"196","332913",2.34910106658936,"2002","BEA2002"
"197","33291A",2.73696899414062,"2002","BEA2002"
"198","332991",3.15458989143372,"2002","BEA2002"
"199","332996",2.38626408576965,"2002","BEA2002"
"200","33299A",1.6249760389328,"2002","BEA2002"
"201","33299B",1.23709905147552,"2002","BEA2002"
"202","33299C",2.64115691184998,"2002","BEA2002"
"203","333111",1.3637570142746,"2002","BEA2002"
"204","333112",1.20999896526337,"2002","BEA2002"
"205","333120",1.28629803657532,"2002","BEA2002"
"206","333130",1.76172196865082,"2002","BEA2002"
"207","333220",1.47388195991516,"2002","BEA2002"
"208","333295",1.51971304416656,"2002","BEA2002"
"209","33329A",1.57756495475769,"2002","BEA2002"
"210","333314",1.41059398651123,"2002","BEA2002"
"211","333315",1.11973798274994,"2002","BEA2002"
"212","333319",1.29482197761536,"2002","BEA2002"
"213","33331A",1.34713900089264,"2002","BEA2002"
"214","333414",1.97732603549957,"2002","BEA2002"
"215","333415",2.12390089035034,"2002","BEA2002"
"216","33341A",1.98750102519989,"2002","BEA2002"
"217","333511",1.34329795837402,"2002","BEA2002"
"218","333514",1.36808204650879,"2002","BEA2002"
"219","333515",3.15975093841553,"2002","BEA2002"
"220","33351A",1.40596497058868,"2002","BEA2002"
"221","33351B",1.17175197601318,"2002","BEA2002"
"222","333611",1.44155204296112,"2002","BEA2002"
"223","333612",2.83932089805603,"2002","BEA2002"
"224","333613",2.67028403282166,"2002","BEA2002"
"225","333618",2.25735807418823,"2002","BEA2002"
"226","333911",1.44306898117065,"2002","BEA2002"
"227","333912",1.29396295547485,"2002","BEA2002"
"228","333920",1.60230600833893,"2002","BEA2002"
"229","333991",1.13233804702759,"2002","BEA2002"
"230","333993",1.28223097324371,"2002","BEA2002"
"231","333994",1.59291899204254,"2002","BEA2002"
"232","33399A",1.61685800552368,"2002","BEA2002"
"233","33399B",2.6160249710083,"2002","BEA2002"
"234","334111",1.04281997680664,"2002","BEA2002"
"235","334112",1.78411900997162,"2002","BEA2002"
"236","33411A",1.68987500667572,"2002","BEA2002"
"237","334210",1.34811496734619,"2002","BEA2002"
"238","334220",1.35694801807404,"2002","BEA2002"
"239","334290",2.41097688674927,"2002","BEA2002"
"240","334300",1.13337397575378,"2002","BEA2002"
"241","334411",2.40331101417542,"2002","BEA2002"
"242","334412",2.99497294425964,"2002","BEA2002"
"243","334413",2.9085259437561,"2002","BEA2002"
"244","334417",2.75773406028748,"2002","BEA2002"
"245","334418",3.02650094032288,"2002","BEA2002"
"246","334419",2.78040790557861,"2002","BEA2002"
