"","BEA2007","NAICS2007_6d","NAICS2007_5d","NAICS2007_4d","NAICS2007_3d","NAICS2007_2d"
"1","1111A0","111110","11111","1111","111","11"
"2","1111A0","111120","11112","1111","111","11"
"3","1111B0","111130","11113","1111","111","11"
"4","1111B0","111140","11114","1111","111","11"
"5","1111B0","111150","11115","1111","111","11"
"6","1111B0","111160","11116","1111","111","11"
"7","1111B0","111191","11119","1111","111","11"
"8","1111B0","111199","11119","1111","111","11"
"9","111200","111211","11121","1112","111","11"
"10","111200","111219","11121","1112","111","11"
"11","111300","111310","11131","1113","111","11"
"12","111300","111320","11132","1113","111","11"
"13","111300","111331","11133","1113","111","11"
"14","111300","111332","11133","1113","111","11"
"15","111300","111333","11133","1113","111","11"
"16","111300","111334","11133","1113","111","11"
"17","111300","111335","11133","1113","111","11"
"18","111300","111336","11133","1113","111","11"
"19","111300","111339","11133","1113","111","11"
"20","111400","111411","11141","1114","111","11"
"21","111400","111419","11141","1114","111","11"
"22","111400","111421","11142","1114","111","11"
"23","111400","111422","11142","1114","111","11"
"24","111900","111910","11191","1119","111","11"
"25","111900","111920","11192","1119","111","11"
"26","111900","111930","11193","1119","111","11"
"27","111900","111940","11194","1119","111","11"
"28","111900","111991","11199","1119","111","11"
"29","111900","111992","11199","1119","111","11"
"30","111900","111998","11199","1119","111","11"
"31","1121A0","112111","11211","1121","112","11"
"32","1121A0","112112","11211","1121","112","11"
"33","1121A0","112130","11213","1121","112","11"
"34","112120","112120","11212","1121","112","11"
"35","112A00","112210","11221","1122","112","11"
"36","112A00","112410","11241","1124","112","11"
"37","112A00","112420","11242","1124","112","11"
"38","112A00","112511","11251","1125","112","11"
"39","112A00","112512","11251","1125","112","11"
"40","112A00","112519","11251","1125","112","11"
"41","112A00","112910","11291","1129","112","11"
"42","112A00","112920","11292","1129","112","11"
"43","112A00","112930","11293","1129","112","11"
"44","112A00","112990","11299","1129","112","11"
"45","112300","112310","11231","1123","112","11"
"46","112300","112320","11232","1123","112","11"
"47","112300","112330","11233","1123","112","11"
"48","112300","112340","11234","1123","112","11"
"49","112300","112390","11239","1123","112","11"
"50","113000","113110","11311","1131","113","11"
"51","113000","113210","11321","1132","113","11"
"52","113000","113310","11331","1133","113","11"
"53","114000","114111","11411","1141","114","11"
"54","114000","114112","11411","1141","114","11"
"55","114000","114119","11411","1141","114","11"
"56","114000","114210","11421","1142","114","11"
"57","115000","115111","11511","1151","115","11"
"58","115000","115112","11511","1151","115","11"
"59","115000","115113","11511","1151","115","11"
"60","115000","115114","11511","1151","115","11"
"61","115000","115115","11511","1151","115","11"
"62","115000","115116","11511","1151","115","11"
"63","115000","115210","11521","1152","115","11"
"64","115000","115310","11531","1153","115","11"
"65","211000","211111","21111","2111","211","21"
"66","211000","211112","21111","2111","211","21"
"67","212100","212111","21211","2121","212","21"
"68","212100","212112","21211","2121","212","21"
"69","212100","212113","21211","2121","212","21"
"70","2122A0","212210","21221","2122","212","21"
"71","2122A0","212221","21222","2122","212","21"
"72","2122A0","212222","21222","2122","212","21"
"73","2122A0","212291","21229","2122","212","21"
"74","2122A0","212299","21229","2122","212","21"
"75","212230","212231","21223","2122","212","21"
"76","212230","212234","21223","2122","212","21"
"77","212310","212311","21231","2123","212","21"
"78","212310","212312","21231","2123","212","21"
"79","212310","212313","21231","2123","212","21"
"80","212310","212319","21231","2123","212","21"
"81","2123A0","212321","21232","2123","212","21"
"82","2123A0","212322","21232","2123","212","21"
"83","2123A0","212324","21232","2123","212","21"
"84","2123A0","212325","21232","2123","212","21"
"85","2123A0","212391","21239","2123","212","21"
"86","2123A0","212392","21239","2123","212","21"
"87","2123A0","212393","21239","2123","212","21"
"88","2123A0","212399","21239","2123","212","21"
"89","213111","213111","21311","2131","213","21"
"90","21311A","213112","21311","2131","213","21"
"91","21311A","213113","21311","2131","213","21"
"92","21311A","213114","21311","2131","213","21"
"93","21311A","213115","21311","2131","213","21"
"94","221100","221111","22111","2211","221","22"
"95","221100","221112","22111","2211","221","22"
"96","221100","221113","22111","2211","221","22"
"97","221100","221119","22111","2211","221","22"
"98","221100","221119","22111","2211","221","22"
"99","221100","221119","22111","2211","221","22"
"100","221100","221119","22111","2211","221","22"
"101","221100","221119","22111","2211","221","22"
"102","221100","221121","22112","2211","221","22"
"103","221100","221122","22112","2211","221","22"
"104","221200","221210","22121","2212","221","22"
"105","221300","221310","22131","2213","221","22"
"106","221300","221320","22132","2213","221","22"
"107","221300","221330","22133","2213","221","22"
"108","233210","236115","23611","2361","236","23"
"109","233210","236116","23611","2361","236","23"
"110","233210","236117","23611","2361","236","23"
"111","233210","236118","23611","2361","236","23"
"112","233210","236210","23621","2362","236","23"
"113","233210","236220","23622","2362","236","23"
"114","233210","237110","23711","2371","237","23"
"115","233210","237120","23712","2371","237","23"
"116","233210","237130","23713","2371","237","23"
"117","233210","237210","23721","2372","237","23"
"118","233210","237310","23731","2373","237","23"
"119","233210","237990","23799","2379","237","23"
"120","233210","238110","23811","2381","238","23"
"121","233210","238120","23812","2381","238","23"
"122","233210","238130","23813","2381","238","23"
"123","233210","238140","23814","2381","238","23"
"124","233210","238150","23815","2381","238","23"
"125","233210","238160","23816","2381","238","23"
"126","233210","238170","23817","2381","238","23"
"127","233210","238190","23819","2381","238","23"
"128","233210","238210","23821","2382","238","23"
"129","233210","238220","23822","2382","238","23"
"130","233210","238290","23829","2382","238","23"
"131","233210","238190","23819","2381","238","23"
"132","233210","238320","23832","2383","238","23"
"133","233210","238330","23833","2383","238","23"
"134","233210","238340","23834","2383","238","23"
"135","233210","238350","23835","2383","238","23"
"136","233210","238390","23839","2383","238","23"
"137","233210","238910","23891","2389","238","23"
"138","233210","238990","23899","2389","238","23"
"139","233262","236115","23611","2361","236","23"
"140","233262","236116","23611","2361","236","23"
"141","233262","236117","23611","2361","236","23"
"142","233262","236118","23611","2361","236","23"
"143","233262","236210","23621","2362","236","23"
"144","233262","236220","23622","2362","236","23"
"145","233262","237110","23711","2371","237","23"
"146","233262","237120","23712","2371","237","23"
"147","233262","237130","23713","2371","237","23"
"148","233262","237210","23721","2372","237","23"
"149","233262","237310","23731","2373","237","23"
"150","233262","237990","23799","2379","237","23"
"151","233262","238110","23811","2381","238","23"
"152","233262","238120","23812","2381","238","23"
"153","233262","238130","23813","2381","238","23"
"154","233262","238140","23814","2381","238","23"
"155","233262","238150","23815","2381","238","23"
"156","233262","238160","23816","2381","238","23"
"157","233262","238170","23817","2381","238","23"
"158","233262","238190","23819","2381","238","23"
"159","233262","238210","23821","2382","238","23"
"160","233262","238220","23822","2382","238","23"
"161","233262","238290","23829","2382","238","23"
"162","233262","238190","23819","2381","238","23"
"163","233262","238320","23832","2383","238","23"
"164","233262","238330","23833","2383","238","23"
"165","233262","238340","23834","2383","238","23"
"166","233262","238350","23835","2383","238","23"
"167","233262","238390","23839","2383","238","23"
"168","233262","238910","23891","2389","238","23"
"169","233262","238990","23899","2389","238","23"
"170","2332A0","236115","23611","2361","236","23"
"171","2332A0","236116","23611","2361","236","23"
"172","2332A0","236117","23611","2361","236","23"
"173","2332A0","236118","23611","2361","236","23"
"174","2332A0","236210","23621","2362","236","23"
"175","2332A0","236220","23622","2362","236","23"
"176","2332A0","237110","23711","2371","237","23"
"177","2332A0","237120","23712","2371","237","23"
"178","2332A0","237130","23713","2371","237","23"
"179","2332A0","237210","23721","2372","237","23"
"180","2332A0","237310","23731","2373","237","23"
"181","2332A0","237990","23799","2379","237","23"
